,iso_a3,model,adj_r2,coef_sm_dt
212,MWI,Satellite,0.15095071816239192,3.5255473756774656
213,MWI,Survey,0.1766156737996063,5.9009209169217405
214,MYS,Satellite,0.3506576290468599,1.6284196026689974
215,MYS,Survey,-0.03088321494005647,-7.508416579585618
216,NAM,Satellite,0.5840925575954629,8.771176679164283
217,NAM,Survey,0.014252742427622173,2.6330917400867246
218,NCL,Satellite,-0.005325707165634059,1.1922302457152996
219,NCL,Survey,0.0781471287735058,0.06779753297628156
220,NER,Satellite,0.25119623328359475,4.934981945863712
221,NER,Survey,0.039310286396978096,3.311910261802549
222,NGA,Satellite,0.11107897239491421,2.9312804569776847
223,NGA,Survey,0.021917877245578494,0.5469066373768116
224,NIC,Satellite,0.34970614037080083,2.401367762190145
225,NIC,Survey,0.03490365532158363,0.6446090200024018
226,NLD,Satellite,0.18712413740349804,3.46842429715105
227,NLD,Survey,0.046084897504401034,3.810426643482813
228,NOR,Satellite,0.0434728596059333,0.46910269780389435
229,NOR,Survey,-0.028291635368780894,0.3701610500674983
230,NPL,Satellite,0.2514235926162628,2.257418733281103
231,NPL,Survey,0.10890117408824228,1.3397278481799093
232,NZL,Satellite,0.1627384729091809,2.619271221871803
233,NZL,Survey,0.0005354768487871546,0.8250903134659809
234,OMN,Satellite,-0.013137076717445054,5.624817455974426
235,OMN,Survey,-0.0018567922957932008,-2.8059270082749457
236,PAK,Satellite,0.3607108771402539,3.324313120010408
237,PAK,Survey,0.05600177570131393,1.9176082194646713
238,PAN,Satellite,0.3482154384207535,3.0752048963190055
239,PAN,Survey,-0.024878801625997538,0.7227019026723364
240,PER,Satellite,0.136573980158971,2.1029214178277633
241,PER,Survey,-0.008329882883071136,0.007871116520937289
242,PHL,Satellite,0.44842605226337345,1.729262714187886
243,PHL,Survey,0.016234735623671483,-0.5209813226329263
244,PNG,Satellite,0.2728830357423867,1.5614103872078842
245,PNG,Survey,0.104786412259354,-1.3479467612910592
246,POL,Satellite,0.07521053943816018,-1.0511825067049259
247,POL,Survey,0.022908245094761286,1.1839310795538607
248,PRI,Satellite,0.0910613853389649,1.5845947578921846
249,PRI,Survey,-0.006916140833881729,0.7433040283850686
250,PRK,Satellite,0.30902220869146885,2.9341367514862307
251,PRK,Survey,0.04522923730869458,-0.1533847625492133
252,PRT,Satellite,0.534585125449844,8.679888416445982
253,PRT,Survey,0.024831261614682732,3.3420405827888184
254,PRY,Satellite,0.2955216340813421,4.426083562105829
255,PRY,Survey,0.08450688024260804,2.743862083085533
256,ROU,Satellite,0.3676885559111607,4.0694675977608545
257,ROU,Survey,0.21549893691262945,6.2365817787506765
258,RUS,Satellite,0.21955026712902126,2.2566735962735294
259,RUS,Survey,0.18535164687420316,2.9774912789626673
260,RWA,Satellite,0.13346129799718087,2.868423544034522
261,RWA,Survey,0.14627213974241046,-0.4661758287161812
262,SAU,Satellite,-0.011349642051688105,0.84915831393618
263,SAU,Survey,0.008662540931408044,0.1942907828809009
264,SDN,Satellite,0.6991291857308756,6.545898167924232
265,SDN,Survey,0.19617259107064092,0.7039563614326388
266,SEN,Satellite,0.5870741915590965,6.641410704237268
267,SEN,Survey,0.18785960864477635,6.39286956918563
268,SGP,Satellite,-0.1646248908371586,0.16600383045233508
269,SGP,Survey,0.19916345015208237,-1.0221714623183247
270,SLB,Satellite,-0.12415068253118093,0.12773240193240532
271,SLB,Survey,0.26513110595803624,-2.963022022001012
